,Umiditate 1,Umiditate 2,Umiditate 3,Data
0,15,54,55,12:00:00 AM
1,16,54,54,12:00:10 AM
2,17,54,54,12:00:20 AM
3,18,54,55,12:00:30 AM
4,19,54,51,12:00:40 AM
5,20,54,51,12:00:50 AM
6,21,54,50,12:01:00 AM
7,22,54,53,12:01:10 AM
8,23,54,54,12:01:20 AM
9,24,54,53,12:01:30 AM
10,25,54,51,12:01:40 AM
11,26,54,55,12:01:50 AM
12,27,54,55,12:02:00 AM
13,28,54,50,12:02:10 AM
14,29,54,55,12:02:20 AM
15,30,54,53,12:02:30 AM
16,31,54,54,12:02:40 AM
17,32,54,53,12:02:50 AM
18,33,54,52,12:03:00 AM
19,34,54,54,12:03:10 AM
20,35,54,54,12:03:20 AM
21,36,54,52,12:03:30 AM
22,37,54,54,12:03:40 AM
23,38,54,54,12:03:50 AM
24,39,54,55,12:04:00 AM
25,40,54,51,12:04:10 AM
26,41,54,53,12:04:20 AM
27,42,54,52,12:04:30 AM
28,43,54,55,12:04:40 AM
29,44,54,53,12:04:50 AM
30,45,54,53,12:05:00 AM
31,46,54,54,12:05:10 AM
32,47,54,54,12:05:20 AM
33,48,54,50,12:05:30 AM
34,49,54,52,12:05:40 AM
35,50,54,50,12:05:50 AM
36,51,54,53,12:06:00 AM
37,52,54,54,12:06:10 AM
38,53,54,54,12:06:20 AM
39,54,54,50,12:06:30 AM
40,55,54,51,12:06:40 AM
41,54,54,52,12:06:50 AM
42,54,54,55,12:07:00 AM
43,54,54,52,12:07:10 AM
44,54,54,51,12:07:20 AM
45,54,54,53,12:07:30 AM
46,54,54,53,12:07:40 AM
47,54,54,51,12:07:50 AM
48,54,54,50,12:08:00 AM
49,54,54,54,12:08:10 AM
50,54,54,50,12:08:20 AM
51,54,54,50,12:08:30 AM
52,54,54,50,12:08:40 AM
53,54,54,52,12:08:50 AM
54,54,54,54,12:09:00 AM
55,54,54,53,12:09:10 AM
56,54,54,55,12:09:20 AM
57,54,54,50,12:09:30 AM
58,54,54,51,12:09:40 AM
59,54,54,53,12:09:50 AM
60,54,54,53,12:10:00 AM
61,54,54,54,12:10:10 AM
62,54,54,52,12:10:20 AM
63,54,54,52,12:10:30 AM
64,54,54,51,12:10:40 AM
65,54,54,50,12:10:50 AM
66,54,54,55,12:11:00 AM
67,54,54,55,12:11:10 AM
68,54,54,52,12:11:20 AM
69,54,54,55,12:11:30 AM
70,54,54,52,12:11:40 AM
71,54,54,55,12:11:50 AM
72,54,54,54,12:12:00 AM
73,54,54,53,12:12:10 AM
74,54,54,50,12:12:20 AM
75,54,54,53,12:12:30 AM
76,54,54,54,12:12:40 AM
77,54,54,53,12:12:50 AM
78,54,54,51,12:13:00 AM
79,54,54,53,12:13:10 AM
80,54,54,50,12:13:20 AM
81,54,54,50,12:13:30 AM
82,54,54,53,12:13:40 AM
83,54,54,54,12:13:50 AM
84,54,54,50,12:14:00 AM
85,54,54,55,12:14:10 AM
86,54,54,53,12:14:20 AM
87,54,54,52,12:14:30 AM
88,54,54,54,12:14:40 AM
89,54,54,50,12:14:50 AM
90,54,54,53,12:15:00 AM
91,54,54,50,12:15:10 AM
92,54,54,51,12:15:20 AM
93,54,54,51,12:15:30 AM
94,54,54,54,12:15:40 AM
95,54,54,52,12:15:50 AM
96,54,54,53,12:16:00 AM
97,54,54,55,12:16:10 AM
98,54,54,52,12:16:20 AM
99,54,54,53,12:16:30 AM
